model,layer_name,resolution_h,resolution_w,mean_avr
VM-UNet,vmunet.layers.0.blocks.0,64,64,0.1693
VM-UNet,vmunet.layers.0.blocks.1,64,64,0.2306
VM-UNet,vmunet.layers.1.blocks.0,32,32,0.2561
VM-UNet,vmunet.layers.1.blocks.1,32,32,0.2335
VM-UNet,vmunet.layers.2.blocks.0,16,16,0.1993
VM-UNet,vmunet.layers.2.blocks.1,16,16,0.1718
VM-UNet,vmunet.layers.2.blocks.2,16,16,0.1719
VM-UNet,vmunet.layers.2.blocks.3,16,16,0.1721
VM-UNet,vmunet.layers.2.blocks.4,16,16,0.1722
VM-UNet,vmunet.layers.2.blocks.5,16,16,0.1725
VM-UNet,vmunet.layers.2.blocks.6,16,16,0.1725
VM-UNet,vmunet.layers.2.blocks.7,16,16,0.1725
VM-UNet,vmunet.layers.2.blocks.8,16,16,0.1723
VM-UNet,vmunet.layers.3.blocks.0,8,8,0.0683
VM-UNet,vmunet.layers.3.blocks.1,8,8,0.0644
VM-UNet,vmunet.layers_up.0.blocks.0,8,8,0.0647
VM-UNet,vmunet.layers_up.0.blocks.1,8,8,0.0658
VM-UNet,vmunet.layers_up.1.blocks.0,16,16,0.2142
VM-UNet,vmunet.layers_up.1.blocks.1,16,16,0.1994
VM-UNet,vmunet.layers_up.1.blocks.2,16,16,0.1998
VM-UNet,vmunet.layers_up.1.blocks.3,16,16,0.1998
VM-UNet,vmunet.layers_up.1.blocks.4,16,16,0.2001
VM-UNet,vmunet.layers_up.1.blocks.5,16,16,0.2005
VM-UNet,vmunet.layers_up.1.blocks.6,16,16,0.2014
VM-UNet,vmunet.layers_up.1.blocks.7,16,16,0.2022
VM-UNet,vmunet.layers_up.1.blocks.8,16,16,0.2029
VM-UNet,vmunet.layers_up.2.blocks.0,32,32,0.2545
VM-UNet,vmunet.layers_up.2.blocks.1,32,32,0.2071
VM-UNet,vmunet.layers_up.3.blocks.0,64,64,0.2271
VM-UNet,vmunet.layers_up.3.blocks.1,64,64,0.2273
UNet-ResNet50,encoder_relu,128,128,0.0161
UNet-ResNet50,encoder_layer1,64,64,0.0761
UNet-ResNet50,encoder_layer2,32,32,0.1832
UNet-ResNet50,encoder_layer3,16,16,0.1867
UNet-ResNet50,encoder_layer4,8,8,0.0379
Swin-Tiny,swin_stage_0,56,56,0.0861
Swin-Tiny,swin_stage_1,28,28,0.1224
Swin-Tiny,swin_stage_2,14,14,0.4078
Swin-Tiny,swin_stage_3,7,7,0.1828
